"Time","data_time"
804.99,738269
804.996,738269
805.002,738269
805.008,738269
805.014,738269
805.02,738269
805.026,738269
805.032,738269
805.038,738269
805.044,738269
805.05,738269
805.056,738269
805.062,738269
805.068,738269
805.074,738269
805.08,738269
805.086,738269
805.092,738269
805.098,738269
805.104,738269
805.11,738269
805.116,738269
805.122,738269
805.128,738269
805.134,738269
805.14,738269
805.146,738269
805.152,738269
805.158,738269
805.164,738269
805.17,738269
805.176,738269
805.182,738269
805.188,738269
805.194,738269
805.2,738269
805.206,738269
805.212,738269
805.218,738269
805.224,738269
805.23,738269
805.236,738269
805.242,738269
805.248,738269
805.254,738269
805.26,738269
805.266,738269
805.272,738269
805.278,738269
805.284,738269
805.29,738269
805.296,738269
805.302,738269
805.308,738269
805.314,738269
805.32,738269
805.326,738269
805.332,738269
805.338,738269
805.344,738269
805.35,738269
805.356,738269
805.362,738269
805.368,738269
805.374,738269
805.38,738269
805.386,738269
805.392,738269
805.398,738269
805.404,738269
805.41,738269
805.416,738269
805.422,738269
805.428,738269
805.434,738269
805.44,738269
805.446,738269
805.452,738269
805.458,738269
805.464,738269
805.47,738269
805.476,738269
805.482,738269
805.488,738269
805.494,738269
805.5,738269
805.506,738269
805.512,738269
805.518,738269
805.524,738269
805.53,738269
805.536,738269
805.542,738269
805.548,738269
805.554,738269
805.56,738269
805.566,738269
805.572,738269
805.578,738269
805.584,738269
805.59,738269
805.596,738269
805.602,738269
805.608,738269
805.614,738269
805.62,738269
805.626,738269
805.632,738269
805.638,738269
805.644,738269
805.65,738269
805.656,738269
805.662,738269
805.668,738269
805.674,738269
805.68,738269
805.686,738269
805.692,738269
805.698,738269
805.704,738269
805.71,738269
805.716,738269
805.722,738269
805.728,738269
805.734,738269
805.74,738269
805.746,738269
805.752,738269
805.758,738269
805.764,738269
805.77,738269
805.776,738269
805.782,738269
805.788,738269
805.794,738269
805.8,738269
805.806,738269
805.812,738269
805.818,738269
805.824,738269
805.83,738269
805.836,738269
805.842,738269
805.848,738269
805.854,738269
805.86,738269
805.866,738269
805.872,738269
805.878,738269
805.884,738269
805.89,738269
805.896,738269
805.902,738269
805.908,738269
805.914,738269
805.92,738269
805.926,738269
805.932,738269
805.938,738269
805.944,738269
805.95,738269
805.956,738269
805.962,738269
805.968,738269
805.974,738269
805.98,738269
805.986,738269
805.992,738269
805.998,738269
806.004,738269
806.01,738269
806.016,738269
806.022,738269
806.028,738269
806.034,738269
806.04,738269
806.046,738269
806.052,738269
806.058,738269
806.064,738269
806.07,738269
806.076,738269
806.082,738269
806.088,738269
806.094,738269
806.1,738269
806.106,738269
806.112,738269
806.118,738269
806.124,738269
806.13,738269
806.136,738269
806.142,738269
806.148,738269
806.154,738269
806.16,738269
806.166,738269
806.172,738269
806.178,738269
806.184,738269
806.19,738269
806.196,738269
806.202,738269
806.208,738269
806.214,738269
806.22,738269
806.226,738269
806.232,738269
806.238,738269
806.244,738269
806.25,738269
806.256,738269
806.262,738269
806.268,738269
806.274,738269
806.28,738269
806.286,738269
806.292,738269
806.298,738269
806.304,738269
806.31,738269
806.316,738269
806.322,738269
806.328,738269
806.334,738269
806.34,738269
806.346,738269
806.352,738269
806.358,738269
806.364,738269
806.37,738269
806.376,738269
806.382,738269
806.388,738269
806.394,738269
806.4,738269
806.406,738269
806.412,738269
806.418,738269
806.424,738269
806.43,738269
806.436,738269
806.442,738269
806.448,738269
806.454,738269
806.46,738269
806.466,738269
806.472,738269
806.478,738269
806.484,738269
806.49,738269
806.496,738269
806.502,738269
806.508,738269
806.514,738269
806.52,738269
806.526,738269
806.532,738269
806.538,738269
806.544,738269
806.55,738269
806.556,738269
806.562,738269
806.568,738269
806.574,738269
806.58,738269
806.586,738269
806.592,738269
806.598,738269
806.604,738269
806.61,738269
806.616,738269
806.622,738269
806.628,738269
806.634,738269
806.64,738269
806.646,738269
806.652,738269
806.658,738269
806.664,738269
806.67,738269
806.676,738269
806.682,738269
806.688,738269
806.694,738269
806.7,738269
806.706,738269
806.712,738269
806.718,738269
806.724,738269
806.73,738269
806.736,738269
806.742,738269
806.748,738269
806.754,738269
806.76,738269
806.766,738269
806.772,738269
806.778,738269
806.784,738269
806.79,738269
806.796,738269
806.802,738269
806.808,738269
806.814,738269
806.82,738269
806.826,738269
806.832,738269
806.838,738269
806.844,738269
806.85,738269
806.856,738269
806.862,738269
806.868,738269
806.874,738269
806.88,738269
806.886,738269
806.892,738269
806.898,738269
806.904,738269
806.91,738269
806.916,738269
806.922,738269
806.928,738269
806.934,738269
806.94,738269
806.946,738269
806.952,738269
806.958,738269
806.964,738269
806.97,738269
806.976,738269
806.982,738269
806.988,738269
806.994,738269
807,738269
807.006,738269
807.012,738269
807.018,738269
807.024,738269
807.03,738269
807.036,738269
807.042,738269
807.048,738269
807.054,738269
807.06,738269
807.066,738269
807.072,738269
807.078,738269
807.084,738269
807.09,738269
807.096,738269
807.102,738269
807.108,738269
807.114,738269
807.12,738269
807.126,738269
807.132,738269
807.138,738269
807.144,738269
807.15,738269
807.156,738269
807.162,738269
807.168,738269
807.174,738269
807.18,738269
807.186,738269
807.192,738269
807.198,738269
807.204,738269
807.21,738269
807.216,738269
807.222,738269
807.228,738269
807.234,738269
807.24,738269
807.246,738269
807.252,738269
807.258,738269
807.264,738269
807.27,738269
807.276,738269
807.282,738269
807.288,738269
807.294,738269
807.3,738269
807.306,738269
807.312,738269
807.318,738269
807.324,738269
807.33,738269
807.336,738269
807.342,738269
807.348,738269
807.354,738269
807.36,738269
807.366,738269
807.372,738269
807.378,738269
807.384,738269
807.39,738269
807.396,738269
807.402,738269
807.408,738269
807.414,738269
807.42,738269
807.426,738269
807.432,738269
807.438,738269
807.444,738269
807.45,738269
807.456,738269
807.462,738269
807.468,738269
807.474,738269
807.48,738269
807.486,738269
807.492,738269
807.498,738269
807.504,738269
807.51,738269
807.516,738269
807.522,738269
807.528,738269
807.534,738269
807.54,738269
807.546,738269
807.552,738269
807.558,738269
807.564,738269
807.57,738269
807.576,738269
807.582,738269
807.588,738269
807.594,738269
807.6,738269
807.606,738269
807.612,738269
807.618,738269
807.624,738269
807.63,738269
807.636,738269
807.642,738269
807.648,738269
807.654,738269
807.66,738269
807.666,738269
807.672,738269
807.678,738269
807.684,738269
807.69,738269
807.696,738269
807.702,738269
807.708,738269
807.714,738269
807.72,738269
807.726,738269
807.732,738269
807.738,738269
